"","Origin","destination","Year","Value"
"Italy.AGO.2006","Italy","AGO",2006,"0"
"Korea, Republic of.AGO.2006","Korea, Republic of","AGO",2006,"0"
"Luxembourg.AGO.2006","Luxembourg","AGO",2006,"0"
"Portugal.AGO.2006","Portugal","AGO",2006,"246"
"Sweden.AGO.2006","Sweden","AGO",2006,"0"
"United States.AGO.2006","United States","AGO",2006,"280"
"Belgium.AGO.2007","Belgium","AGO",2007,"0"
"China.AGO.2007","China","AGO",2007,"41"
"Cyprus.AGO.2007","Cyprus","AGO",2007,"0"
"Denmark.AGO.2007","Denmark","AGO",2007,"0"
"France.AGO.2007","France","AGO",2007,"694"
"Germany.AGO.2007","Germany","AGO",2007,"31"
"Italy.AGO.2007","Italy","AGO",2007,"0"
"Korea, Republic of.AGO.2007","Korea, Republic of","AGO",2007,"0"
"Luxembourg.AGO.2007","Luxembourg","AGO",2007,"0"
"Portugal.AGO.2007","Portugal","AGO",2007,"--1 051"
"Sweden.AGO.2007","Sweden","AGO",2007,"0"
"United States.AGO.2007","United States","AGO",2007,"- -99"
"Belgium.AGO.2008","Belgium","AGO",2008,"0"
"China.AGO.2008","China","AGO",2008,"- -10"
"Cyprus.AGO.2008","Cyprus","AGO",2008,"0"
"Denmark.AGO.2008","Denmark","AGO",2008,"0"
"France.AGO.2008","France","AGO",2008,"519"
"Germany.AGO.2008","Germany","AGO",2008,"19"
"Italy.AGO.2008","Italy","AGO",2008,"149"
"Korea, Republic of.AGO.2008","Korea, Republic of","AGO",2008,"6"
"Luxembourg.AGO.2008","Luxembourg","AGO",2008,"0"
"Portugal.AGO.2008","Portugal","AGO",2008,"-- 965"
"Sweden.AGO.2008","Sweden","AGO",2008,"- -3"
"United States.AGO.2008","United States","AGO",2008,"789"
"Belgium.AGO.2009","Belgium","AGO",2009,"- -4"
"China.AGO.2009","China","AGO",2009,"8"
"Cyprus.AGO.2009","Cyprus","AGO",2009,"3"
"Denmark.AGO.2009","Denmark","AGO",2009,"0"
"France.AGO.2009","France","AGO",2009,"-- 478"
"Germany.AGO.2009","Germany","AGO",2009,"0"
"Italy.AGO.2009","Italy","AGO",2009,"-- 110"
"Korea, Republic of.AGO.2009","Korea, Republic of","AGO",2009,"- -5"
"Luxembourg.AGO.2009","Luxembourg","AGO",2009,"0"
"Portugal.AGO.2009","Portugal","AGO",2009,"-- 512"
"Sweden.AGO.2009","Sweden","AGO",2009,"- -3"
"United States.AGO.2009","United States","AGO",2009,"77"
"Belgium.AGO.2010","Belgium","AGO",2010,"- -33"
"China.AGO.2010","China","AGO",2010,"101"
"Cyprus.AGO.2010","Cyprus","AGO",2010,"0"
"Denmark.AGO.2010","Denmark","AGO",2010,"0"
"France.AGO.2010","France","AGO",2010,"1 511"
"Germany.AGO.2010","Germany","AGO",2010,"0"
"Italy.AGO.2010","Italy","AGO",2010,"100"
"Korea, Republic of.AGO.2010","Korea, Republic of","AGO",2010,"0"
"Luxembourg.AGO.2010","Luxembourg","AGO",2010,"0"
"Portugal.AGO.2010","Portugal","AGO",2010,"208"
"Sweden.AGO.2010","Sweden","AGO",2010,"0"
"United States.AGO.2010","United States","AGO",2010,"1 968"
"Belgium.AGO.2011","Belgium","AGO",2011,"1"
"China.AGO.2011","China","AGO",2011,"73"
"Cyprus.AGO.2011","Cyprus","AGO",2011,"0"
"Denmark.AGO.2011","Denmark","AGO",2011,"0"
"France.AGO.2011","France","AGO",2011,"979"
"Germany.AGO.2011","Germany","AGO",2011,"0"
"Italy.AGO.2011","Italy","AGO",2011,"- -70"
"Korea, Republic of.AGO.2011","Korea, Republic of","AGO",2011,"0"
"Luxembourg.AGO.2011","Luxembourg","AGO",2011,"0"
"Portugal.AGO.2011","Portugal","AGO",2011,"524"
"Sweden.AGO.2011","Sweden","AGO",2011,"- -1"
"United States.AGO.2011","United States","AGO",2011,"707"
"Belgium.AGO.2012","Belgium","AGO",2012,"- -26"
"China.AGO.2012","China","AGO",2012,"392"
"Cyprus.AGO.2012","Cyprus","AGO",2012,"0"
"Denmark.AGO.2012","Denmark","AGO",2012,"0"
"France.AGO.2012","France","AGO",2012,"953"
"Germany.AGO.2012","Germany","AGO",2012,"0"
"Italy.AGO.2012","Italy","AGO",2012,"92"
"Korea, Republic of.AGO.2012","Korea, Republic of","AGO",2012,"0"
"Luxembourg.AGO.2012","Luxembourg","AGO",2012,"0"
"Portugal.AGO.2012","Portugal","AGO",2012,"530"
"Sweden.AGO.2012","Sweden","AGO",2012,"- -1"
"United States.AGO.2012","United States","AGO",2012,"0"
"Italy.AIA.2001","Italy","AIA",2001,"4"
"United States.AIA.2001","United States","AIA",2001,"5"
"Italy.AIA.2002","Italy","AIA",2002,"0"
"United States.AIA.2002","United States","AIA",2002,"8"
"Italy.AIA.2003","Italy","AIA",2003,"0"
"United States.AIA.2003","United States","AIA",2003,"7"
"Italy.AIA.2004","Italy","AIA",2004,"0"
"United States.AIA.2004","United States","AIA",2004,"21"
"Italy.AIA.2005","Italy","AIA",2005,"0"
"United States.AIA.2005","United States","AIA",2005,"62"
"Italy.AIA.2006","Italy","AIA",2006,"0"
"United States.AIA.2006","United States","AIA",2006,"68"
"Italy.AIA.2007","Italy","AIA",2007,"0"
"United States.AIA.2007","United States","AIA",2007,"68"
"Italy.AIA.2008","Italy","AIA",2008,"0"
"United States.AIA.2008","United States","AIA",2008,"40"
"Italy.AIA.2009","Italy","AIA",2009,".."
"United States.AIA.2009","United States","AIA",2009,".."
"Italy.AIA.2010","Italy","AIA",2010,".."
"United States.AIA.2010","United States","AIA",2010,".."
"Italy.AIA.2011","Italy","AIA",2011,".."
"United States.AIA.2011","United States","AIA",2011,".."
"Italy.AIA.2012","Italy","AIA",2012,".."
"United States.AIA.2012","United States","AIA",2012,".."
"Austria.ALB.2001","Austria","ALB",2001,"- -2"
"Belgium.ALB.2001","Belgium","ALB",2001,"0"
"Bulgaria.ALB.2001","Bulgaria","ALB",2001,"0"
"Croatia.ALB.2001","Croatia","ALB",2001,"0"
"Czech Republic.ALB.2001","Czech Republic","ALB",2001,"0"
"France.ALB.2001","France","ALB",2001,"30"
"Germany.ALB.2001","Germany","ALB",2001,"0"
"Greece.ALB.2001","Greece","ALB",2001,"0"
"Italy.ALB.2001","Italy","ALB",2001,"0"
"Luxembourg.ALB.2001","Luxembourg","ALB",2001,"0"
"Poland.ALB.2001","Poland","ALB",2001,"0"
"Turkey.ALB.2001","Turkey","ALB",2001,"0"
"United States.ALB.2001","United States","ALB",2001,".."
"Austria.ALB.2002","Austria","ALB",2002,"0"
"Belgium.ALB.2002","Belgium","ALB",2002,"0"
"Bulgaria.ALB.2002","Bulgaria","ALB",2002,"0"
"Croatia.ALB.2002","Croatia","ALB",2002,"0"
"Czech Republic.ALB.2002","Czech Republic","ALB",2002,"0"
"France.ALB.2002","France","ALB",2002,"2"
"Germany.ALB.2002","Germany","ALB",2002,"12"
"Greece.ALB.2002","Greece","ALB",2002,"0"
"Italy.ALB.2002","Italy","ALB",2002,"0"
"Luxembourg.ALB.2002","Luxembourg","ALB",2002,"0"
"Poland.ALB.2002","Poland","ALB",2002,"- -4"
"Turkey.ALB.2002","Turkey","ALB",2002,"0"
"United States.ALB.2002","United States","ALB",2002,"0"
"Austria.ALB.2003","Austria","ALB",2003,"0"
"Belgium.ALB.2003","Belgium","ALB",2003,"0"
"Bulgaria.ALB.2003","Bulgaria","ALB",2003,"0"
"Croatia.ALB.2003","Croatia","ALB",2003,"0"
"Czech Republic.ALB.2003","Czech Republic","ALB",2003,"0"
"France.ALB.2003","France","ALB",2003,"3"
"Germany.ALB.2003","Germany","ALB",2003,"10"
"Greece.ALB.2003","Greece","ALB",2003,"35"
"Italy.ALB.2003","Italy","ALB",2003,"0"
"Luxembourg.ALB.2003","Luxembourg","ALB",2003,"0"
"Poland.ALB.2003","Poland","ALB",2003,"0"
"Turkey.ALB.2003","Turkey","ALB",2003,"0"
"United States.ALB.2003","United States","ALB",2003,"- -1"
"Austria.ALB.2004","Austria","ALB",2004,"153"
"Belgium.ALB.2004","Belgium","ALB",2004,"0"
"Bulgaria.ALB.2004","Bulgaria","ALB",2004,"0"
"Croatia.ALB.2004","Croatia","ALB",2004,"0"
"Czech Republic.ALB.2004","Czech Republic","ALB",2004,"0"
"France.ALB.2004","France","ALB",2004,"- -2"
"Germany.ALB.2004","Germany","ALB",2004,"5"
"Greece.ALB.2004","Greece","ALB",2004,"6"
"Italy.ALB.2004","Italy","ALB",2004,"0"
"Luxembourg.ALB.2004","Luxembourg","ALB",2004,"0"
"Poland.ALB.2004","Poland","ALB",2004,"0"
"Turkey.ALB.2004","Turkey","ALB",2004,"0"
"United States.ALB.2004","United States","ALB",2004,"0"
"Austria.ALB.2005","Austria","ALB",2005,"21"
"Belgium.ALB.2005","Belgium","ALB",2005,"0"
"Bulgaria.ALB.2005","Bulgaria","ALB",2005,"0"
"Croatia.ALB.2005","Croatia","ALB",2005,"8"
"Czech Republic.ALB.2005","Czech Republic","ALB",2005,"0"
"France.ALB.2005","France","ALB",2005,"0"
"Germany.ALB.2005","Germany","ALB",2005,"9"
"Greece.ALB.2005","Greece","ALB",2005,"4"
"Italy.ALB.2005","Italy","ALB",2005,"0"
"Luxembourg.ALB.2005","Luxembourg","ALB",2005,"0"
"Poland.ALB.2005","Poland","ALB",2005,"0"
"Turkey.ALB.2005","Turkey","ALB",2005,"3"
"United States.ALB.2005","United States","ALB",2005,"0"
"Austria.ALB.2006","Austria","ALB",2006,"37"
"Belgium.ALB.2006","Belgium","ALB",2006,"0"
"Bulgaria.ALB.2006","Bulgaria","ALB",2006,"5"
"Croatia.ALB.2006","Croatia","ALB",2006,"0"
"Czech Republic.ALB.2006","Czech Republic","ALB",2006,"0"
"France.ALB.2006","France","ALB",2006,"1"
"Germany.ALB.2006","Germany","ALB",2006,"13"
"Greece.ALB.2006","Greece","ALB",2006,"86"
"Italy.ALB.2006","Italy","ALB",2006,"0"
"Luxembourg.ALB.2006","Luxembourg","ALB",2006,"3"
"Poland.ALB.2006","Poland","ALB",2006,"0"
"Turkey.ALB.2006","Turkey","ALB",2006,"0"
"United States.ALB.2006","United States","ALB",2006,"0"
"Austria.ALB.2007","Austria","ALB",2007,"76"
"Belgium.ALB.2007","Belgium","ALB",2007,"0"
"Bulgaria.ALB.2007","Bulgaria","ALB",2007,"12"
"Croatia.ALB.2007","Croatia","ALB",2007,"2"
"Czech Republic.ALB.2007","Czech Republic","ALB",2007,"0"
"France.ALB.2007","France","ALB",2007,"0"
"Germany.ALB.2007","Germany","ALB",2007,"23"
"Greece.ALB.2007","Greece","ALB",2007,"129"
"Italy.ALB.2007","Italy","ALB",2007,"0"
"Luxembourg.ALB.2007","Luxembourg","ALB",2007,"1"
"Poland.ALB.2007","Poland","ALB",2007,"0"
"Turkey.ALB.2007","Turkey","ALB",2007,"26"
"United States.ALB.2007","United States","ALB",2007,"0"
"Austria.ALB.2008","Austria","ALB",2008,"41"
"Belgium.ALB.2008","Belgium","ALB",2008,"0"
"Bulgaria.ALB.2008","Bulgaria","ALB",2008,"1"
"Croatia.ALB.2008","Croatia","ALB",2008,"- -1"
"Czech Republic.ALB.2008","Czech Republic","ALB",2008,"0"
"France.ALB.2008","France","ALB",2008,"0"
"Germany.ALB.2008","Germany","ALB",2008,"23"
"Greece.ALB.2008","Greece","ALB",2008,"64"
"Italy.ALB.2008","Italy","ALB",2008,"99"
"Luxembourg.ALB.2008","Luxembourg","ALB",2008,"0"
"Poland.ALB.2008","Poland","ALB",2008,"0"
"Turkey.ALB.2008","Turkey","ALB",2008,"3"
"United States.ALB.2008","United States","ALB",2008,"0"
"Austria.ALB.2009","Austria","ALB",2009,"0"
"Belgium.ALB.2009","Belgium","ALB",2009,"0"
"Bulgaria.ALB.2009","Bulgaria","ALB",2009,"10"
"Croatia.ALB.2009","Croatia","ALB",2009,"- -5"
"Czech Republic.ALB.2009","Czech Republic","ALB",2009,"274"
"France.ALB.2009","France","ALB",2009,"0"
"Germany.ALB.2009","Germany","ALB",2009,"25"
"Greece.ALB.2009","Greece","ALB",2009,"187"
"Italy.ALB.2009","Italy","ALB",2009,"131"
"Luxembourg.ALB.2009","Luxembourg","ALB",2009,"0"
"Poland.ALB.2009","Poland","ALB",2009,"0"
"Turkey.ALB.2009","Turkey","ALB",2009,"0"
"United States.ALB.2009","United States","ALB",2009,"0"
"Austria.ALB.2010","Austria","ALB",2010,"0"
"Belgium.ALB.2010","Belgium","ALB",2010,"1"
"Bulgaria.ALB.2010","Bulgaria","ALB",2010,"- -1"
"Croatia.ALB.2010","Croatia","ALB",2010,"1"
"Czech Republic.ALB.2010","Czech Republic","ALB",2010,"0"
"France.ALB.2010","France","ALB",2010,".."
"Germany.ALB.2010","Germany","ALB",2010,"0"
"Greece.ALB.2010","Greece","ALB",2010,"73"
"Italy.ALB.2010","Italy","ALB",2010,"2 771"
"Luxembourg.ALB.2010","Luxembourg","ALB",2010,"- -4"
"Poland.ALB.2010","Poland","ALB",2010,"0"
"Turkey.ALB.2010","Turkey","ALB",2010,"3"
"United States.ALB.2010","United States","ALB",2010,"0"
"Austria.ALB.2011","Austria","ALB",2011,"0"
"Belgium.ALB.2011","Belgium","ALB",2011,"6"
"Bulgaria.ALB.2011","Bulgaria","ALB",2011,"- -3"
"Croatia.ALB.2011","Croatia","ALB",2011,"5"
"Czech Republic.ALB.2011","Czech Republic","ALB",2011,"0"
"France.ALB.2011","France","ALB",2011,".."
"Germany.ALB.2011","Germany","ALB",2011,"0"
"Greece.ALB.2011","Greece","ALB",2011,"19"
"Italy.ALB.2011","Italy","ALB",2011,"-- 266"
"Luxembourg.ALB.2011","Luxembourg","ALB",2011,"19"
"Poland.ALB.2011","Poland","ALB",2011,"0"
"Turkey.ALB.2011","Turkey","ALB",2011,"5"
"United States.ALB.2011","United States","ALB",2011,"0"
"Austria.ALB.2012","Austria","ALB",2012,"0"
"Belgium.ALB.2012","Belgium","ALB",2012,"- -8"
"Bulgaria.ALB.2012","Bulgaria","ALB",2012,"1"
"Croatia.ALB.2012","Croatia","ALB",2012,"- -11"
"Czech Republic.ALB.2012","Czech Republic","ALB",2012,"0"
"France.ALB.2012","France","ALB",2012,".."
"Germany.ALB.2012","Germany","ALB",2012,"0"
"Greece.ALB.2012","Greece","ALB",2012,"15"
"Italy.ALB.2012","Italy","ALB",2012,"433"
"Luxembourg.ALB.2012","Luxembourg","ALB",2012,"-- 456"
"Poland.ALB.2012","Poland","ALB",2012,"0"
"Turkey.ALB.2012","Turkey","ALB",2012,"5"
"United States.ALB.2012","United States","ALB",2012,"0"
"Belgium.ANT.2001","Belgium","ANT",2001,"0"
"Brazil.ANT.2001","Brazil","ANT",2001,"0"
"Colombia.ANT.2001","Colombia","ANT",2001,"0"
"France.ANT.2001","France","ANT",2001,"0"
"Germany.ANT.2001","Germany","ANT",2001,"160"
"Israel.ANT.2001","Israel","ANT",2001,"14"
"Italy.ANT.2001","Italy","ANT",2001,"0"
"Japan.ANT.2001","Japan","ANT",2001,"0"
"Luxembourg.ANT.2001","Luxembourg","ANT",2001,"0"
"Netherlands.ANT.2001","Netherlands","ANT",2001,"169"
"New Zealand.ANT.2001","New Zealand","ANT",2001,".."
"Poland.ANT.2001","Poland","ANT",2001,"0"
"Portugal.ANT.2001","Portugal","ANT",2001,"0"
"Slovenia.ANT.2001","Slovenia","ANT",2001,"0"
"Spain.ANT.2001","Spain","ANT",2001,"0"
"Turkey.ANT.2001","Turkey","ANT",2001,"0"
"United States.ANT.2001","United States","ANT",2001,"1 026"
"Belgium.ANT.2002","Belgium","ANT",2002,"0"
"Brazil.ANT.2002","Brazil","ANT",2002,"0"
"Colombia.ANT.2002","Colombia","ANT",2002,"0"
"France.ANT.2002","France","ANT",2002,"5"
"Germany.ANT.2002","Germany","ANT",2002,"20"
"Israel.ANT.2002","Israel","ANT",2002,"26"
"Italy.ANT.2002","Italy","ANT",2002,"1"
"Japan.ANT.2002","Japan","ANT",2002,"0"
"Luxembourg.ANT.2002","Luxembourg","ANT",2002,"- -31"
"Netherlands.ANT.2002","Netherlands","ANT",2002,"173"
"New Zealand.ANT.2002","New Zealand","ANT",2002,"264"
"Poland.ANT.2002","Poland","ANT",2002,"0"
"Portugal.ANT.2002","Portugal","ANT",2002,"8"
"Slovenia.ANT.2002","Slovenia","ANT",2002,"0"
"Spain.ANT.2002","Spain","ANT",2002,"0"
"Turkey.ANT.2002","Turkey","ANT",2002,"0"
"United States.ANT.2002","United States","ANT",2002,"--1 109"
"Belgium.ANT.2003","Belgium","ANT",2003,"0"
"Brazil.ANT.2003","Brazil","ANT",2003,"0"
"Colombia.ANT.2003","Colombia","ANT",2003,"0"
"France.ANT.2003","France","ANT",2003,"3"
"Germany.ANT.2003","Germany","ANT",2003,"- -21"
"Israel.ANT.2003","Israel","ANT",2003,"2"
"Italy.ANT.2003","Italy","ANT",2003,"- -2"
"Japan.ANT.2003","Japan","ANT",2003,"0"
"Luxembourg.ANT.2003","Luxembourg","ANT",2003,"- -7"
"Netherlands.ANT.2003","Netherlands","ANT",2003,"1 087"
"New Zealand.ANT.2003","New Zealand","ANT",2003,"172"
"Poland.ANT.2003","Poland","ANT",2003,"0"
"Portugal.ANT.2003","Portugal","ANT",2003,"0"
"Slovenia.ANT.2003","Slovenia","ANT",2003,"0"
"Spain.ANT.2003","Spain","ANT",2003,"0"
"Turkey.ANT.2003","Turkey","ANT",2003,"0"
"United States.ANT.2003","United States","ANT",2003,"- -17"
"Belgium.ANT.2004","Belgium","ANT",2004,"0"
"Brazil.ANT.2004","Brazil","ANT",2004,"0"
"Colombia.ANT.2004","Colombia","ANT",2004,"1"
"France.ANT.2004","France","ANT",2004,"- -15"
"Germany.ANT.2004","Germany","ANT",2004,"1 310"
"Israel.ANT.2004","Israel","ANT",2004,"- -2"
"Italy.ANT.2004","Italy","ANT",2004,"- -1"
"Japan.ANT.2004","Japan","ANT",2004,"0"
"Luxembourg.ANT.2004","Luxembourg","ANT",2004,"--19 514"
"Netherlands.ANT.2004","Netherlands","ANT",2004,"544"
"New Zealand.ANT.2004","New Zealand","ANT",2004,"17"
"Poland.ANT.2004","Poland","ANT",2004,"0"
"Portugal.ANT.2004","Portugal","ANT",2004,"2"
"Slovenia.ANT.2004","Slovenia","ANT",2004,"0"
"Spain.ANT.2004","Spain","ANT",2004,"0"
"Turkey.ANT.2004","Turkey","ANT",2004,"0"
"United States.ANT.2004","United States","ANT",2004,"1 702"
"Belgium.ANT.2005","Belgium","ANT",2005,"0"
"Brazil.ANT.2005","Brazil","ANT",2005,"0"
