"","Origin","destination","Year","Value"
"Turkey.BHR.2001","Turkey","BHR",2001,"0"
"United States.BHR.2001","United States","BHR",2001,"- -17"
"Belgium.BHR.2002","Belgium","BHR",2002,"0"
"China.BHR.2002","China","BHR",2002,"0"
"Croatia.BHR.2002","Croatia","BHR",2002,"0"
"Cyprus.BHR.2002","Cyprus","BHR",2002,"0"
"Denmark.BHR.2002","Denmark","BHR",2002,"0"
"France.BHR.2002","France","BHR",2002,"6"
"Germany.BHR.2002","Germany","BHR",2002,"3"
"Italy.BHR.2002","Italy","BHR",2002,"0"
"Japan.BHR.2002","Japan","BHR",2002,"0"
"Korea, Republic of.BHR.2002","Korea, Republic of","BHR",2002,"0"
"Luxembourg.BHR.2002","Luxembourg","BHR",2002,"0"
"New Zealand.BHR.2002","New Zealand","BHR",2002,"84"
"Oman.BHR.2002","Oman","BHR",2002,"0"
"Qatar.BHR.2002","Qatar","BHR",2002,"0"
"Sweden.BHR.2002","Sweden","BHR",2002,"0"
"Turkey.BHR.2002","Turkey","BHR",2002,"0"
"United States.BHR.2002","United States","BHR",2002,"13"
"Belgium.BHR.2003","Belgium","BHR",2003,"0"
"China.BHR.2003","China","BHR",2003,"0"
"Croatia.BHR.2003","Croatia","BHR",2003,"0"
"Cyprus.BHR.2003","Cyprus","BHR",2003,"0"
"Denmark.BHR.2003","Denmark","BHR",2003,"0"
"France.BHR.2003","France","BHR",2003,"1"
"Germany.BHR.2003","Germany","BHR",2003,"3"
"Italy.BHR.2003","Italy","BHR",2003,"0"
"Japan.BHR.2003","Japan","BHR",2003,"0"
"Korea, Republic of.BHR.2003","Korea, Republic of","BHR",2003,"0"
"Luxembourg.BHR.2003","Luxembourg","BHR",2003,"0"
"New Zealand.BHR.2003","New Zealand","BHR",2003,"- -53"
"Oman.BHR.2003","Oman","BHR",2003,"0"
"Qatar.BHR.2003","Qatar","BHR",2003,"0"
"Sweden.BHR.2003","Sweden","BHR",2003,"0"
"Turkey.BHR.2003","Turkey","BHR",2003,"0"
"United States.BHR.2003","United States","BHR",2003,"60"
"Belgium.BHR.2004","Belgium","BHR",2004,"0"
"China.BHR.2004","China","BHR",2004,"0"
"Croatia.BHR.2004","Croatia","BHR",2004,"0"
"Cyprus.BHR.2004","Cyprus","BHR",2004,"1"
"Denmark.BHR.2004","Denmark","BHR",2004,"0"
"France.BHR.2004","France","BHR",2004,"5"
"Germany.BHR.2004","Germany","BHR",2004,"5"
"Italy.BHR.2004","Italy","BHR",2004,"0"
"Japan.BHR.2004","Japan","BHR",2004,"0"
"Korea, Republic of.BHR.2004","Korea, Republic of","BHR",2004,"0"
"Luxembourg.BHR.2004","Luxembourg","BHR",2004,"4"
"New Zealand.BHR.2004","New Zealand","BHR",2004,"- -37"
"Oman.BHR.2004","Oman","BHR",2004,"0"
"Qatar.BHR.2004","Qatar","BHR",2004,"0"
"Sweden.BHR.2004","Sweden","BHR",2004,"0"
"Turkey.BHR.2004","Turkey","BHR",2004,"0"
"United States.BHR.2004","United States","BHR",2004,"27"
"Belgium.BHR.2005","Belgium","BHR",2005,"0"
"China.BHR.2005","China","BHR",2005,"0"
"Croatia.BHR.2005","Croatia","BHR",2005,"0"
"Cyprus.BHR.2005","Cyprus","BHR",2005,"0"
"Denmark.BHR.2005","Denmark","BHR",2005,"0"
"France.BHR.2005","France","BHR",2005,"22"
"Germany.BHR.2005","Germany","BHR",2005,"0"
"Italy.BHR.2005","Italy","BHR",2005,"0"
"Japan.BHR.2005","Japan","BHR",2005,"2"
"Korea, Republic of.BHR.2005","Korea, Republic of","BHR",2005,"0"
"Luxembourg.BHR.2005","Luxembourg","BHR",2005,"2"
"New Zealand.BHR.2005","New Zealand","BHR",2005,".."
"Oman.BHR.2005","Oman","BHR",2005,"0"
"Qatar.BHR.2005","Qatar","BHR",2005,"0"
"Sweden.BHR.2005","Sweden","BHR",2005,"- -1"
"Turkey.BHR.2005","Turkey","BHR",2005,"0"
"United States.BHR.2005","United States","BHR",2005,"- -45"
"Belgium.BHR.2006","Belgium","BHR",2006,"0"
"China.BHR.2006","China","BHR",2006,"- -2"
"Croatia.BHR.2006","Croatia","BHR",2006,"0"
"Cyprus.BHR.2006","Cyprus","BHR",2006,"0"
"Denmark.BHR.2006","Denmark","BHR",2006,"18"
"France.BHR.2006","France","BHR",2006,"29"
"Germany.BHR.2006","Germany","BHR",2006,"6"
"Italy.BHR.2006","Italy","BHR",2006,"0"
"Japan.BHR.2006","Japan","BHR",2006,"0"
"Korea, Republic of.BHR.2006","Korea, Republic of","BHR",2006,"0"
"Luxembourg.BHR.2006","Luxembourg","BHR",2006,"- -36"
"New Zealand.BHR.2006","New Zealand","BHR",2006,".."
"Oman.BHR.2006","Oman","BHR",2006,"10"
"Qatar.BHR.2006","Qatar","BHR",2006,"0"
"Sweden.BHR.2006","Sweden","BHR",2006,"0"
"Turkey.BHR.2006","Turkey","BHR",2006,"16"
"United States.BHR.2006","United States","BHR",2006,"-- 102"
"Belgium.BHR.2007","Belgium","BHR",2007,"0"
"China.BHR.2007","China","BHR",2007,"0"
"Croatia.BHR.2007","Croatia","BHR",2007,"0"
"Cyprus.BHR.2007","Cyprus","BHR",2007,"0"
"Denmark.BHR.2007","Denmark","BHR",2007,"0"
"France.BHR.2007","France","BHR",2007,"0"
"Germany.BHR.2007","Germany","BHR",2007,"- -19"
"Italy.BHR.2007","Italy","BHR",2007,"0"
"Japan.BHR.2007","Japan","BHR",2007,"3"
"Korea, Republic of.BHR.2007","Korea, Republic of","BHR",2007,"0"
"Luxembourg.BHR.2007","Luxembourg","BHR",2007,"7"
"New Zealand.BHR.2007","New Zealand","BHR",2007,".."
"Oman.BHR.2007","Oman","BHR",2007,"160"
"Qatar.BHR.2007","Qatar","BHR",2007,"0"
"Sweden.BHR.2007","Sweden","BHR",2007,"0"
"Turkey.BHR.2007","Turkey","BHR",2007,"5"
"United States.BHR.2007","United States","BHR",2007,"- -85"
"Belgium.BHR.2008","Belgium","BHR",2008,"0"
"China.BHR.2008","China","BHR",2008,"0"
"Croatia.BHR.2008","Croatia","BHR",2008,"0"
"Cyprus.BHR.2008","Cyprus","BHR",2008,"1"
"Denmark.BHR.2008","Denmark","BHR",2008,"- -17"
"France.BHR.2008","France","BHR",2008,"0"
"Germany.BHR.2008","Germany","BHR",2008,"40"
"Italy.BHR.2008","Italy","BHR",2008,"94"
"Japan.BHR.2008","Japan","BHR",2008,"- -80"
"Korea, Republic of.BHR.2008","Korea, Republic of","BHR",2008,"1"
"Luxembourg.BHR.2008","Luxembourg","BHR",2008,"- -22"
"New Zealand.BHR.2008","New Zealand","BHR",2008,".."
"Oman.BHR.2008","Oman","BHR",2008,"- -31"
"Qatar.BHR.2008","Qatar","BHR",2008,"0"
"Sweden.BHR.2008","Sweden","BHR",2008,"- -1"
"Turkey.BHR.2008","Turkey","BHR",2008,"0"
"United States.BHR.2008","United States","BHR",2008,"- -19"
"Belgium.BHR.2009","Belgium","BHR",2009,"- -39"
"China.BHR.2009","China","BHR",2009,"0"
"Croatia.BHR.2009","Croatia","BHR",2009,"1"
"Cyprus.BHR.2009","Cyprus","BHR",2009,"2"
"Denmark.BHR.2009","Denmark","BHR",2009,"0"
"France.BHR.2009","France","BHR",2009,"0"
"Germany.BHR.2009","Germany","BHR",2009,"- -3"
"Italy.BHR.2009","Italy","BHR",2009,"24"
"Japan.BHR.2009","Japan","BHR",2009,"- -76"
"Korea, Republic of.BHR.2009","Korea, Republic of","BHR",2009,"29"
"Luxembourg.BHR.2009","Luxembourg","BHR",2009,"- -1"
"New Zealand.BHR.2009","New Zealand","BHR",2009,".."
"Oman.BHR.2009","Oman","BHR",2009,"- -21"
"Qatar.BHR.2009","Qatar","BHR",2009,"-- 168"
"Sweden.BHR.2009","Sweden","BHR",2009,"0"
"Turkey.BHR.2009","Turkey","BHR",2009,"0"
"United States.BHR.2009","United States","BHR",2009,"-- 367"
"Belgium.BHR.2010","Belgium","BHR",2010,"4"
"China.BHR.2010","China","BHR",2010,"0"
"Croatia.BHR.2010","Croatia","BHR",2010,"1"
"Cyprus.BHR.2010","Cyprus","BHR",2010,"3"
"Denmark.BHR.2010","Denmark","BHR",2010,"0"
"France.BHR.2010","France","BHR",2010,".."
"Germany.BHR.2010","Germany","BHR",2010,"0"
"Italy.BHR.2010","Italy","BHR",2010,"23"
"Japan.BHR.2010","Japan","BHR",2010,"87"
"Korea, Republic of.BHR.2010","Korea, Republic of","BHR",2010,"61"
"Luxembourg.BHR.2010","Luxembourg","BHR",2010,"- -3"
"New Zealand.BHR.2010","New Zealand","BHR",2010,"4"
"Oman.BHR.2010","Oman","BHR",2010,"- -36"
"Qatar.BHR.2010","Qatar","BHR",2010,"0"
"Sweden.BHR.2010","Sweden","BHR",2010,"0"
"Turkey.BHR.2010","Turkey","BHR",2010,"116"
"United States.BHR.2010","United States","BHR",2010,"25"
"Belgium.BHR.2011","Belgium","BHR",2011,"22"
"China.BHR.2011","China","BHR",2011,"0"
"Croatia.BHR.2011","Croatia","BHR",2011,"1"
"Cyprus.BHR.2011","Cyprus","BHR",2011,"0"
"Denmark.BHR.2011","Denmark","BHR",2011,"0"
"France.BHR.2011","France","BHR",2011,".."
"Germany.BHR.2011","Germany","BHR",2011,"0"
"Italy.BHR.2011","Italy","BHR",2011,"30"
"Japan.BHR.2011","Japan","BHR",2011,"261"
"Korea, Republic of.BHR.2011","Korea, Republic of","BHR",2011,"0"
"Luxembourg.BHR.2011","Luxembourg","BHR",2011,"8"
"New Zealand.BHR.2011","New Zealand","BHR",2011,"26"
"Oman.BHR.2011","Oman","BHR",2011,"4"
"Qatar.BHR.2011","Qatar","BHR",2011,"0"
"Sweden.BHR.2011","Sweden","BHR",2011,"0"
"Turkey.BHR.2011","Turkey","BHR",2011,"35"
"United States.BHR.2011","United States","BHR",2011,"101"
"Belgium.BHR.2012","Belgium","BHR",2012,"21"
"China.BHR.2012","China","BHR",2012,"5"
"Croatia.BHR.2012","Croatia","BHR",2012,"- -2"
"Cyprus.BHR.2012","Cyprus","BHR",2012,"0"
"Denmark.BHR.2012","Denmark","BHR",2012,"0"
"France.BHR.2012","France","BHR",2012,".."
"Germany.BHR.2012","Germany","BHR",2012,"0"
"Italy.BHR.2012","Italy","BHR",2012,"23"
"Japan.BHR.2012","Japan","BHR",2012,"0"
"Korea, Republic of.BHR.2012","Korea, Republic of","BHR",2012,"0"
"Luxembourg.BHR.2012","Luxembourg","BHR",2012,"- -5"
"New Zealand.BHR.2012","New Zealand","BHR",2012,"- -14"
"Oman.BHR.2012","Oman","BHR",2012,"0"
"Qatar.BHR.2012","Qatar","BHR",2012,"0"
"Sweden.BHR.2012","Sweden","BHR",2012,"- -1"
"Turkey.BHR.2012","Turkey","BHR",2012,"7"
"United States.BHR.2012","United States","BHR",2012,"0"
"Belgium.BHS.2001","Belgium","BHS",2001,"0"
"Brazil.BHS.2001","Brazil","BHS",2001,"0"
"Chile.BHS.2001","Chile","BHS",2001,"37"
"China.BHS.2001","China","BHS",2001,"0"
"Colombia.BHS.2001","Colombia","BHS",2001,"15"
"Croatia.BHS.2001","Croatia","BHS",2001,"0"
"Cyprus.BHS.2001","Cyprus","BHS",2001,"0"
"Denmark.BHS.2001","Denmark","BHS",2001,"0"
"France.BHS.2001","France","BHS",2001,"- -16"
"Germany.BHS.2001","Germany","BHS",2001,"- -7"
"India.BHS.2001","India","BHS",2001,"0"
"Italy.BHS.2001","Italy","BHS",2001,"- -1"
"Japan.BHS.2001","Japan","BHS",2001,"0"
"Korea, Republic of.BHS.2001","Korea, Republic of","BHS",2001,"- -22"
"Luxembourg.BHS.2001","Luxembourg","BHS",2001,"0"
"Poland.BHS.2001","Poland","BHS",2001,"0"
"Portugal.BHS.2001","Portugal","BHS",2001,"39"
"Turkey.BHS.2001","Turkey","BHS",2001,"0"
"United States.BHS.2001","United States","BHS",2001,"-- 840"
"Belgium.BHS.2002","Belgium","BHS",2002,"1"
"Brazil.BHS.2002","Brazil","BHS",2002,"0"
"Chile.BHS.2002","Chile","BHS",2002,"1"
"China.BHS.2002","China","BHS",2002,"0"
"Colombia.BHS.2002","Colombia","BHS",2002,"12"
"Croatia.BHS.2002","Croatia","BHS",2002,"0"
"Cyprus.BHS.2002","Cyprus","BHS",2002,"5"
"Denmark.BHS.2002","Denmark","BHS",2002,"0"
"France.BHS.2002","France","BHS",2002,"116"
"Germany.BHS.2002","Germany","BHS",2002,"14"
"India.BHS.2002","India","BHS",2002,"0"
"Italy.BHS.2002","Italy","BHS",2002,"1"
"Japan.BHS.2002","Japan","BHS",2002,"0"
"Korea, Republic of.BHS.2002","Korea, Republic of","BHS",2002,"0"
"Luxembourg.BHS.2002","Luxembourg","BHS",2002,"277"
"Poland.BHS.2002","Poland","BHS",2002,"0"
"Portugal.BHS.2002","Portugal","BHS",2002,"-- 424"
"Turkey.BHS.2002","Turkey","BHS",2002,"0"
"United States.BHS.2002","United States","BHS",2002,"1 096"
"Belgium.BHS.2003","Belgium","BHS",2003,"0"
"Brazil.BHS.2003","Brazil","BHS",2003,"0"
"Chile.BHS.2003","Chile","BHS",2003,"4"
"China.BHS.2003","China","BHS",2003,"- -1"
"Colombia.BHS.2003","Colombia","BHS",2003,"61"
"Croatia.BHS.2003","Croatia","BHS",2003,"0"
"Cyprus.BHS.2003","Cyprus","BHS",2003,"0"
"Denmark.BHS.2003","Denmark","BHS",2003,"0"
"France.BHS.2003","France","BHS",2003,"7"
"Germany.BHS.2003","Germany","BHS",2003,"9"
"India.BHS.2003","India","BHS",2003,"0"
"Italy.BHS.2003","Italy","BHS",2003,"- -2"
"Japan.BHS.2003","Japan","BHS",2003,"0"
"Korea, Republic of.BHS.2003","Korea, Republic of","BHS",2003,"0"
"Luxembourg.BHS.2003","Luxembourg","BHS",2003,"- -95"
"Poland.BHS.2003","Poland","BHS",2003,"0"
"Portugal.BHS.2003","Portugal","BHS",2003,"2"
"Turkey.BHS.2003","Turkey","BHS",2003,"0"
"United States.BHS.2003","United States","BHS",2003,"268"
"Belgium.BHS.2004","Belgium","BHS",2004,".."
"Brazil.BHS.2004","Brazil","BHS",2004,"0"
"Chile.BHS.2004","Chile","BHS",2004,"16"
"China.BHS.2004","China","BHS",2004,"44"
"Colombia.BHS.2004","Colombia","BHS",2004,"3"
"Croatia.BHS.2004","Croatia","BHS",2004,"0"
"Cyprus.BHS.2004","Cyprus","BHS",2004,"0"
"Denmark.BHS.2004","Denmark","BHS",2004,"0"
"France.BHS.2004","France","BHS",2004,"- -25"
"Germany.BHS.2004","Germany","BHS",2004,"26"
"India.BHS.2004","India","BHS",2004,"0"
"Italy.BHS.2004","Italy","BHS",2004,"10"
"Japan.BHS.2004","Japan","BHS",2004,"0"
"Korea, Republic of.BHS.2004","Korea, Republic of","BHS",2004,"0"
"Luxembourg.BHS.2004","Luxembourg","BHS",2004,"- -40"
"Poland.BHS.2004","Poland","BHS",2004,"0"
"Portugal.BHS.2004","Portugal","BHS",2004,"7"
"Turkey.BHS.2004","Turkey","BHS",2004,"0"
"United States.BHS.2004","United States","BHS",2004,"1 175"
"Belgium.BHS.2005","Belgium","BHS",2005,".."
"Brazil.BHS.2005","Brazil","BHS",2005,"0"
"Chile.BHS.2005","Chile","BHS",2005,"6"
"China.BHS.2005","China","BHS",2005,"23"
"Colombia.BHS.2005","Colombia","BHS",2005,"0"
"Croatia.BHS.2005","Croatia","BHS",2005,"25"
"Cyprus.BHS.2005","Cyprus","BHS",2005,"2"
"Denmark.BHS.2005","Denmark","BHS",2005,"5"
"France.BHS.2005","France","BHS",2005,"- -21"
"Germany.BHS.2005","Germany","BHS",2005,"- -9"
"India.BHS.2005","India","BHS",2005,"0"
"Italy.BHS.2005","Italy","BHS",2005,"3 585"
"Japan.BHS.2005","Japan","BHS",2005,"111"
"Korea, Republic of.BHS.2005","Korea, Republic of","BHS",2005,"0"
"Luxembourg.BHS.2005","Luxembourg","BHS",2005,"- -49"
"Poland.BHS.2005","Poland","BHS",2005,"0"
"Portugal.BHS.2005","Portugal","BHS",2005,"0"
"Turkey.BHS.2005","Turkey","BHS",2005,"0"
"United States.BHS.2005","United States","BHS",2005,"1 338"
"Belgium.BHS.2006","Belgium","BHS",2006,".."
"Brazil.BHS.2006","Brazil","BHS",2006,"1 418"
"Chile.BHS.2006","Chile","BHS",2006,"1"
"China.BHS.2006","China","BHS",2006,"3"
"Colombia.BHS.2006","Colombia","BHS",2006,"4"
"Croatia.BHS.2006","Croatia","BHS",2006,"0"
"Cyprus.BHS.2006","Cyprus","BHS",2006,"0"
"Denmark.BHS.2006","Denmark","BHS",2006,"- -53"
"France.BHS.2006","France","BHS",2006,"39"
"Germany.BHS.2006","Germany","BHS",2006,"- -18"
"India.BHS.2006","India","BHS",2006,"0"
"Italy.BHS.2006","Italy","BHS",2006,"8 885"
"Japan.BHS.2006","Japan","BHS",2006,"108"
"Korea, Republic of.BHS.2006","Korea, Republic of","BHS",2006,"0"
"Luxembourg.BHS.2006","Luxembourg","BHS",2006,"23"
"Poland.BHS.2006","Poland","BHS",2006,"0"
"Portugal.BHS.2006","Portugal","BHS",2006,"0"
"Turkey.BHS.2006","Turkey","BHS",2006,"1"
"United States.BHS.2006","United States","BHS",2006,"-- 383"
"Belgium.BHS.2007","Belgium","BHS",2007,"0"
"Brazil.BHS.2007","Brazil","BHS",2007,"995"
"Chile.BHS.2007","Chile","BHS",2007,"5"
"China.BHS.2007","China","BHS",2007,"39"
"Colombia.BHS.2007","Colombia","BHS",2007,"0"
"Croatia.BHS.2007","Croatia","BHS",2007,"0"
"Cyprus.BHS.2007","Cyprus","BHS",2007,"0"
"Denmark.BHS.2007","Denmark","BHS",2007,"1 212"
"France.BHS.2007","France","BHS",2007,"88"
"Germany.BHS.2007","Germany","BHS",2007,"-- 188"
"India.BHS.2007","India","BHS",2007,"0"
"Italy.BHS.2007","Italy","BHS",2007,"3 740"
"Japan.BHS.2007","Japan","BHS",2007,"96"
"Korea, Republic of.BHS.2007","Korea, Republic of","BHS",2007,"10"
"Luxembourg.BHS.2007","Luxembourg","BHS",2007,"- -3"
"Poland.BHS.2007","Poland","BHS",2007,"0"
"Portugal.BHS.2007","Portugal","BHS",2007,"0"
"Turkey.BHS.2007","Turkey","BHS",2007,"0"
"United States.BHS.2007","United States","BHS",2007,"1 686"
"Belgium.BHS.2008","Belgium","BHS",2008,"0"
"Brazil.BHS.2008","Brazil","BHS",2008,"522"
"Chile.BHS.2008","Chile","BHS",2008,"10"
"China.BHS.2008","China","BHS",2008,"- -56"
"Colombia.BHS.2008","Colombia","BHS",2008,"0"
"Croatia.BHS.2008","Croatia","BHS",2008,"0"
"Cyprus.BHS.2008","Cyprus","BHS",2008,"35"
"Denmark.BHS.2008","Denmark","BHS",2008,"--1 569"
"France.BHS.2008","France","BHS",2008,"10"
"Germany.BHS.2008","Germany","BHS",2008,"224"
"India.BHS.2008","India","BHS",2008,"0"
"Italy.BHS.2008","Italy","BHS",2008,"7"
"Japan.BHS.2008","Japan","BHS",2008,"-- 119"
"Korea, Republic of.BHS.2008","Korea, Republic of","BHS",2008,"0"
"Luxembourg.BHS.2008","Luxembourg","BHS",2008,"9"
"Poland.BHS.2008","Poland","BHS",2008,"0"
"Portugal.BHS.2008","Portugal","BHS",2008,"0"
"Turkey.BHS.2008","Turkey","BHS",2008,"0"
"United States.BHS.2008","United States","BHS",2008,"--1 040"
"Belgium.BHS.2009","Belgium","BHS",2009,"-- 924"
"Brazil.BHS.2009","Brazil","BHS",2009,"207"
"Chile.BHS.2009","Chile","BHS",2009,"172"
"China.BHS.2009","China","BHS",2009,"1"
"Colombia.BHS.2009","Colombia","BHS",2009,"16"
"Croatia.BHS.2009","Croatia","BHS",2009,"0"
"Cyprus.BHS.2009","Cyprus","BHS",2009,"- -41"
"Denmark.BHS.2009","Denmark","BHS",2009,"0"
"France.BHS.2009","France","BHS",2009,"- -3"
"Germany.BHS.2009","Germany","BHS",2009,"4"
"India.BHS.2009","India","BHS",2009,"0"
"Italy.BHS.2009","Italy","BHS",2009,"- -66"
"Japan.BHS.2009","Japan","BHS",2009,"16"
"Korea, Republic of.BHS.2009","Korea, Republic of","BHS",2009,"- -9"
"Luxembourg.BHS.2009","Luxembourg","BHS",2009,"36"
"Poland.BHS.2009","Poland","BHS",2009,"0"
"Portugal.BHS.2009","Portugal","BHS",2009,"0"
"Turkey.BHS.2009","Turkey","BHS",2009,"0"
"United States.BHS.2009","United States","BHS",2009,"1 754"
"Belgium.BHS.2010","Belgium","BHS",2010,"45"
"Brazil.BHS.2010","Brazil","BHS",2010,"-- 103"
"Chile.BHS.2010","Chile","BHS",2010,"86"
"China.BHS.2010","China","BHS",2010,"0"
"Colombia.BHS.2010","Colombia","BHS",2010,"30"
"Croatia.BHS.2010","Croatia","BHS",2010,"0"
"Cyprus.BHS.2010","Cyprus","BHS",2010,"84"
"Denmark.BHS.2010","Denmark","BHS",2010,"0"
"France.BHS.2010","France","BHS",2010,"-- 313"
"Germany.BHS.2010","Germany","BHS",2010,"0"
"India.BHS.2010","India","BHS",2010,"0"
"Italy.BHS.2010","Italy","BHS",2010,"- -1"
"Japan.BHS.2010","Japan","BHS",2010,"- -67"
"Korea, Republic of.BHS.2010","Korea, Republic of","BHS",2010,"0"
"Luxembourg.BHS.2010","Luxembourg","BHS",2010,"7"
"Poland.BHS.2010","Poland","BHS",2010,"5"
"Portugal.BHS.2010","Portugal","BHS",2010,"0"
"Turkey.BHS.2010","Turkey","BHS",2010,"0"
"United States.BHS.2010","United States","BHS",2010,"2 273"
"Belgium.BHS.2011","Belgium","BHS",2011,"4"
"Brazil.BHS.2011","Brazil","BHS",2011,"34"
"Chile.BHS.2011","Chile","BHS",2011,"15"
"China.BHS.2011","China","BHS",2011,"0"
"Colombia.BHS.2011","Colombia","BHS",2011,"1"
"Croatia.BHS.2011","Croatia","BHS",2011,"- -4"
"Cyprus.BHS.2011","Cyprus","BHS",2011,"0"
"Denmark.BHS.2011","Denmark","BHS",2011,"0"
"France.BHS.2011","France","BHS",2011,"952"
"Germany.BHS.2011","Germany","BHS",2011,"0"
"India.BHS.2011","India","BHS",2011,"34"
"Italy.BHS.2011","Italy","BHS",2011,"0"
"Japan.BHS.2011","Japan","BHS",2011,"57"
"Korea, Republic of.BHS.2011","Korea, Republic of","BHS",2011,"0"
"Luxembourg.BHS.2011","Luxembourg","BHS",2011,"29"
"Poland.BHS.2011","Poland","BHS",2011,"- -11"
"Portugal.BHS.2011","Portugal","BHS",2011,"0"
"Turkey.BHS.2011","Turkey","BHS",2011,"0"
"United States.BHS.2011","United States","BHS",2011,"3 378"
"Belgium.BHS.2012","Belgium","BHS",2012,"60"
"Brazil.BHS.2012","Brazil","BHS",2012,"163"
"Chile.BHS.2012","Chile","BHS",2012,"12"
"China.BHS.2012","China","BHS",2012,"0"
"Colombia.BHS.2012","Colombia","BHS",2012,"3"
"Croatia.BHS.2012","Croatia","BHS",2012,"0"
"Cyprus.BHS.2012","Cyprus","BHS",2012,"0"
"Denmark.BHS.2012","Denmark","BHS",2012,"0"
"France.BHS.2012","France","BHS",2012,"- -0"
"Germany.BHS.2012","Germany","BHS",2012,"0"
"India.BHS.2012","India","BHS",2012,"55"
"Italy.BHS.2012","Italy","BHS",2012,"- -1"
"Japan.BHS.2012","Japan","BHS",2012,"295"
"Korea, Republic of.BHS.2012","Korea, Republic of","BHS",2012,"0"
"Luxembourg.BHS.2012","Luxembourg","BHS",2012,"470"
"Poland.BHS.2012","Poland","BHS",2012,"42"
"Portugal.BHS.2012","Portugal","BHS",2012,"0"
"Turkey.BHS.2012","Turkey","BHS",2012,"0"
"United States.BHS.2012","United States","BHS",2012,"0"
"Austria.BIH.2001","Austria","BIH",2001,".."
"Belgium.BIH.2001","Belgium","BIH",2001,".."
"Croatia.BIH.2001","Croatia","BIH",2001,".."
"Cyprus.BIH.2001","Cyprus","BIH",2001,".."
"Czech Republic.BIH.2001","Czech Republic","BIH",2001,".."
"Denmark.BIH.2001","Denmark","BIH",2001,".."
"France.BIH.2001","France","BIH",2001,".."
"Germany.BIH.2001","Germany","BIH",2001,".."
"Hungary.BIH.2001","Hungary","BIH",2001,".."
"Ireland.BIH.2001","Ireland","BIH",2001,".."
"Italy.BIH.2001","Italy","BIH",2001,".."
"Lithuania.BIH.2001","Lithuania","BIH",2001,".."
"Luxembourg.BIH.2001","Luxembourg","BIH",2001,".."
"Netherlands.BIH.2001","Netherlands","BIH",2001,".."
"Poland.BIH.2001","Poland","BIH",2001,".."
"Slovakia.BIH.2001","Slovakia","BIH",2001,".."
"Slovenia.BIH.2001","Slovenia","BIH",2001,".."
"Spain.BIH.2001","Spain","BIH",2001,".."
"Sweden.BIH.2001","Sweden","BIH",2001,".."
"United Kingdom.BIH.2001","United Kingdom","BIH",2001,".."
"Liechtenstein.BIH.2001","Liechtenstein","BIH",2001,".."
"Norway.BIH.2001","Norway","BIH",2001,".."
"Switzerland.BIH.2001","Switzerland","BIH",2001,".."
"Canada.BIH.2001","Canada","BIH",2001,".."
"United States.BIH.2001","United States","BIH",2001,".."
"Malaysia.BIH.2001","Malaysia","BIH",2001,".."
"Kuwait.BIH.2001","Kuwait","BIH",2001,".."
"Saudi Arabia.BIH.2001","Saudi Arabia","BIH",2001,".."
"Turkey.BIH.2001","Turkey","BIH",2001,".."
"United Arab Emirates.BIH.2001","United Arab Emirates","BIH",2001,".."
"Montenegro.BIH.2001","Montenegro","BIH",2001,".."
"Serbia.BIH.2001","Serbia","BIH",2001,".."
"CIS.BIH.2001","CIS","BIH",2001,".."
"Russian Federation.BIH.2001","Russian Federation","BIH",2001,".."
"Austria.BIH.2002","Austria","BIH",2002,".."
"Belgium.BIH.2002","Belgium","BIH",2002,".."
"Croatia.BIH.2002","Croatia","BIH",2002,".."
"Cyprus.BIH.2002","Cyprus","BIH",2002,".."
"Czech Republic.BIH.2002","Czech Republic","BIH",2002,".."
"Denmark.BIH.2002","Denmark","BIH",2002,".."
"France.BIH.2002","France","BIH",2002,".."
"Germany.BIH.2002","Germany","BIH",2002,".."
"Hungary.BIH.2002","Hungary","BIH",2002,".."
"Ireland.BIH.2002","Ireland","BIH",2002,".."
"Italy.BIH.2002","Italy","BIH",2002,".."
"Lithuania.BIH.2002","Lithuania","BIH",2002,".."
"Luxembourg.BIH.2002","Luxembourg","BIH",2002,".."
"Netherlands.BIH.2002","Netherlands","BIH",2002,".."
"Poland.BIH.2002","Poland","BIH",2002,".."
"Slovakia.BIH.2002","Slovakia","BIH",2002,".."
"Slovenia.BIH.2002","Slovenia","BIH",2002,".."
"Spain.BIH.2002","Spain","BIH",2002,".."
"Sweden.BIH.2002","Sweden","BIH",2002,".."
"United Kingdom.BIH.2002","United Kingdom","BIH",2002,".."
"Liechtenstein.BIH.2002","Liechtenstein","BIH",2002,".."
"Norway.BIH.2002","Norway","BIH",2002,".."
"Switzerland.BIH.2002","Switzerland","BIH",2002,".."
"Canada.BIH.2002","Canada","BIH",2002,".."
"United States.BIH.2002","United States","BIH",2002,".."
"Malaysia.BIH.2002","Malaysia","BIH",2002,".."
"Kuwait.BIH.2002","Kuwait","BIH",2002,".."
"Saudi Arabia.BIH.2002","Saudi Arabia","BIH",2002,".."
"Turkey.BIH.2002","Turkey","BIH",2002,".."
"United Arab Emirates.BIH.2002","United Arab Emirates","BIH",2002,".."
"Montenegro.BIH.2002","Montenegro","BIH",2002,".."
"Serbia.BIH.2002","Serbia","BIH",2002,".."
"CIS.BIH.2002","CIS","BIH",2002,".."
"Russian Federation.BIH.2002","Russian Federation","BIH",2002,".."
"Austria.BIH.2003","Austria","BIH",2003,".."
"Belgium.BIH.2003","Belgium","BIH",2003,".."
