"","Jurisdiction","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015"
"190","Sri Lanka",NA,NA,NA,NA,3.7,3.4,3.5,3.2,3.1,3.2,3.2,3.1,3.2,3.3,40,37,38,37
"191","Sudan",NA,NA,NA,NA,NA,2.3,2.2,2.1,2,1.8,1.6,1.5,1.6,1.56,13,11,11,12
"192","Suriname",NA,NA,NA,NA,NA,NA,4.3,3.2,3,3.5,3.6,3.7,NA,3.03,37,36,36,36
"193","Swaziland",NA,NA,NA,NA,NA,NA,NA,2.7,2.5,3.3,3.6,3.6,3.2,3.08,37,39,43,NA
"194","Sweden",9.5,9.4,9.4,9,9.3,9.3,9.2,9.2,9.2,9.3,9.3,9.2,9.2,9.3,88,89,87,89
"195","Switzerland",8.9,8.9,8.6,8.4,8.5,8.8,9.1,9.1,9.1,9,9,9,8.7,8.8,86,85,86,86
"196","Syria",NA,NA,NA,NA,NA,3.4,3.4,3.4,2.9,2.4,2.1,2.6,2.5,2.56,26,17,20,18
"197","Taijikistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"198","Taiwan",5.3,5.6,5.5,5.9,5.6,5.7,5.6,5.9,5.9,5.7,5.7,5.6,5.8,6.14,61,61,61,62
"199","Tajikistan",NA,NA,NA,NA,NA,1.8,2,2.1,2.2,2.1,NA,2,2.1,2.27,22,22,23,26
"200","Tanzania",1.9,1.9,2.5,2.2,2.7,2.5,2.8,2.9,2.9,3.2,3,2.6,2.7,2.95,35,33,31,30
"201","Thailand",3,3.2,3.2,3.2,3.2,3.3,3.6,3.8,3.6,3.3,3.5,3.4,3.5,3.38,37,35,38,38
"202","The FYR of Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,42
"203","The United States Of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
