"","Destination","Dest.Code","Origin","Origin.Code","Year","Value"
"7387","Bulgaria","BGR","Egypt","EGY",2006,-1
"7398","Bulgaria","BGR","Italy","ITA",2006,-64
"7417","Bulgaria","BGR","Guernsey","GGY",2006,9
"7426","Bulgaria","BGR","Albania","ALB",2006,-1
"7447","Bulgaria","BGR","Saudi Arabia","SAU",2006,9
"7454","Bulgaria","BGR","United States","USA",2006,331
"7476","Bulgaria","BGR","Indonesia","IDN",2006,0
"7482","Bulgaria","BGR","South Africa","ZAF",2006,1
"7491","Bulgaria","BGR","Morocco","MAR",2006,-2
"7503","Bulgaria","BGR","Trinidad and Tobago","TTO",2006,0
"7504","Bulgaria","BGR","Croatia","HRV",2006,0
"6099","Bulgaria","BGR","Russian Federation","RUS",2007,336
"6101","Bulgaria","BGR","Brazil","BRA",2007,0
"6107","Bulgaria","BGR","Anguilla","AIA",2007,0
"6114","Bulgaria","BGR","Malaysia","MYS",2007,0
"6121","Bulgaria","BGR","Portugal","PRT",2007,6
"6123","Bulgaria","BGR","New Zealand","NZL",2007,1
"6128","Bulgaria","BGR","Serbia","SRB",2007,-18
"6132","Bulgaria","BGR","Seychelles","SYC",2007,31
"6136","Bulgaria","BGR","Lithuania","LTU",2007,39
"6140","Bulgaria","BGR","CIS",NA,2007,360
"6152","Bulgaria","BGR","Ireland","IRL",2007,443
"6172","Bulgaria","BGR","Uzbekistan","UZB",2007,0
"6188","Bulgaria","BGR","Saudi Arabia","SAU",2007,2
"6204","Bulgaria","BGR","Kyrgyzstan","KGZ",2007,1
"6209","Bulgaria","BGR","Slovenia","SVN",2007,132
"6231","Bulgaria","BGR","Italy","ITA",2007,248
"6241","Bulgaria","BGR","Iceland","ISL",2007,15
"6257","Bulgaria","BGR","Norway","NOR",2007,73
"6265","Bulgaria","BGR","South Africa","ZAF",2007,2
"6269","Bulgaria","BGR","United States","USA",2007,439
"6277","Bulgaria","BGR","Denmark","DNK",2007,89
"6288","Bulgaria","BGR","Namibia","NAM",2007,0
"6291","Bulgaria","BGR","Belize","BLZ",2007,15
"6296","Bulgaria","BGR","The FYR of Macedonia","MKD",2007,8
"6303","Bulgaria","BGR","Cayman Islands","CYM",2007,44
"6310","Bulgaria","BGR","Lebanon","LBN",2007,11
"6335","Bulgaria","BGR","Viet Nam","VNM",2007,0
"6382","Bulgaria","BGR","Jordan","JOR",2007,-6
"6393","Bulgaria","BGR","Bosnia and Herzegovina","BIH",2007,0
"6396","Bulgaria","BGR","Thailand","THA",2007,0
"6399","Bulgaria","BGR","Indonesia","IDN",2007,1
"6413","Bulgaria","BGR","Turks and Caicos Islands","TCA",2007,15
"6415","Bulgaria","BGR","Sierra Leone","SLE",2007,0
"6425","Bulgaria","BGR","United Arab Emirates","ARE",2007,9
"6426","Bulgaria","BGR","Samoa","WSM",2007,-9
"6441","Bulgaria","BGR","Japan","JPN",2007,-23
"6458","Bulgaria","BGR","British Virgin Islands","VGB",2007,160
"6462","Bulgaria","BGR","Argentina","ARG",2007,1
"6464","Bulgaria","BGR","Bermuda","BMU",2007,-1
"6491","Bulgaria","BGR","Bangladesh","BGD",2007,-5
"6493","Bulgaria","BGR","Switzerland","CHE",2007,202
"6510","Bulgaria","BGR","Korea, Republic of","KOR",2007,7
"6519","Bulgaria","BGR","Guernsey","GGY",2007,8
"6528","Bulgaria","BGR","Syrian Arab Republic","SYR",2007,5
"6530","Bulgaria","BGR","Georgia","GEO",2007,-2
"6531","Bulgaria","BGR","Romania","ROU",2007,28
"6542","Bulgaria","BGR","Marshall Islands","MHL",2007,3
"6547","Bulgaria","BGR","Germany","DEU",2007,529
"6548","Bulgaria","BGR","France","FRA",2007,194
"6587","Bulgaria","BGR","Bahrain","BHR",2007,0
"6606","Bulgaria","BGR","Chile","CHL",2007,0
"6630","Bulgaria","BGR","Belarus","BLR",2007,2
"6651","Bulgaria","BGR","Morocco","MAR",2007,0
"6661","Bulgaria","BGR","French Polynesia","PYF",2007,1
"6677","Bulgaria","BGR","Moldova, Republic of","MDA",2007,2
"6685","Bulgaria","BGR","Aruba","ABW",2007,1
"6686","Bulgaria","BGR","Sweden","SWE",2007,45
"6696","Bulgaria","BGR","Guatemala","GTM",2007,0
"6699","Bulgaria","BGR","Ukraine","UKR",2007,10
"6706","Bulgaria","BGR","Armenia","ARM",2007,5
"6722","Bulgaria","BGR","Montenegro","MNE",2007,1
"6743","Bulgaria","BGR","Singapore","SGP",2007,11
"6748","Bulgaria","BGR","Andorra","AND",2007,3
"6762","Bulgaria","BGR","Trinidad and Tobago","TTO",2007,0
"6781","Bulgaria","BGR","Saint Kitts and Nevis","KNA",2007,0
"6784","Bulgaria","BGR","Venezuela, Bolivarian Rep. of","VEN",2007,0
"6789","Bulgaria","BGR","Azerbaijan","AZE",2007,1
"6797","Bulgaria","BGR","Luxembourg","LUX",2007,242
"6812","Bulgaria","BGR","Spain","ESP",2007,572
"6816","Bulgaria","BGR","Albania","ALB",2007,0
"6832","Bulgaria","BGR","Oman","OMN",2007,0
"6846","Bulgaria","BGR","Austria","AUT",2007,1753
"6859","Bulgaria","BGR","Netherlands Antilles","ANT",2007,-2
"6891","Bulgaria","BGR","Australia","AUS",2007,-1
"6915","Bulgaria","BGR","Liberia","LBR",2007,0
"6920","Bulgaria","BGR","India","IND",2007,2
"6921","Bulgaria","BGR","China","CHN",2007,2
"6923","Bulgaria","BGR","Costa Rica","CRI",2007,0
"6929","Bulgaria","BGR","United Kingdom","GBR",2007,1141
"6986","Bulgaria","BGR","Gibraltar","GIB",2007,10
"6988","Bulgaria","BGR","Serbia and Montenegro","SRB",2007,0
"6992","Bulgaria","BGR","Liechtenstein","LIE",2007,62
"7008","Bulgaria","BGR","Jersey","JEY",2007,52
"7028","Bulgaria","BGR","Netherlands","NLD",2007,1341
"7039","Bulgaria","BGR","Hungary","HUN",2007,343
"7041","Bulgaria","BGR","Czech Republic","CZE",2007,116
"7058","Bulgaria","BGR","Panama","PAN",2007,49
"7067","Bulgaria","BGR","Poland","POL",2007,57
"7069","Bulgaria","BGR","Canada","CAN",2007,9
"7078","Bulgaria","BGR","Greece","GRC",2007,1197
"7099","Bulgaria","BGR","Bahamas","BHS",2007,4
"7190","Bulgaria","BGR","Belgium","BEL",2007,746
"7198","Bulgaria","BGR","Egypt","EGY",2007,0
"7201","Bulgaria","BGR","Dominican Republic","DOM",2007,0
"7212","Bulgaria","BGR","Hong Kong, China","HKG",2007,1
"7227","Bulgaria","BGR","Israel","ISR",2007,104
"7239","Bulgaria","BGR","Turkey","TUR",2007,106
"7286","Bulgaria","BGR","Cyprus","CYP",2007,756
"7289","Bulgaria","BGR","Colombia","COL",2007,-2
"7291","Bulgaria","BGR","Iraq","IRQ",2007,0
"7293","Bulgaria","BGR","Iran, Islamic Republic of","IRN",2007,2
"7304","Bulgaria","BGR","Finland","FIN",2007,8
"7318","Bulgaria","BGR","Monaco","MCO",2007,1
"7330","Bulgaria","BGR","Slovakia","SVK",2007,4
"7335","Bulgaria","BGR","Latvia","LVA",2007,101
"7347","Bulgaria","BGR","Kuwait","KWT",2007,-17
"7384","Bulgaria","BGR","Niger","NER",2007,0
"7390","Bulgaria","BGR","Malta","MLT",2007,332
"7400","Bulgaria","BGR","Isle of Man","IMN",2007,-7
"7407","Bulgaria","BGR","Guam","GUM",2007,0
"7418","Bulgaria","BGR","US Virgin Islands","VIR",2007,39
"7429","Bulgaria","BGR","New Caledonia","NCL",2007,0
"7442","Bulgaria","BGR","Nigeria","NGA",2007,0
"7474","Bulgaria","BGR","Antigua and Barbuda","ATG",2007,0
"7478","Bulgaria","BGR","Mexico","MEX",2007,0
"7481","Bulgaria","BGR","Kazakhstan","KAZ",2007,6
"7489","Bulgaria","BGR","Estonia","EST",2007,65
"7507","Bulgaria","BGR","Croatia","HRV",2007,47
"6106","Bulgaria","BGR","Georgia","GEO",2008,10
"6108","Bulgaria","BGR","Gibraltar","GIB",2008,45
"6116","Bulgaria","BGR","Uzbekistan","UZB",2008,0
"6120","Bulgaria","BGR","Bahrain","BHR",2008,1
"6133","Bulgaria","BGR","China","CHN",2008,3
"6162","Bulgaria","BGR","Venezuela, Bolivarian Rep. of","VEN",2008,0
"6170","Bulgaria","BGR","Slovakia","SVK",2008,9
"6185","Bulgaria","BGR","Bermuda","BMU",2008,0
"6191","Bulgaria","BGR","Croatia","HRV",2008,3
"6196","Bulgaria","BGR","Isle of Man","IMN",2008,38
"6217","Bulgaria","BGR","United Kingdom","GBR",2008,934
"6222","Bulgaria","BGR","Italy","ITA",2008,203
"6225","Bulgaria","BGR","Chile","CHL",2008,0
"6242","Bulgaria","BGR","Poland","POL",2008,74
"6261","Bulgaria","BGR","Russian Federation","RUS",2008,437
"6266","Bulgaria","BGR","Guatemala","GTM",2008,-1
"6298","Bulgaria","BGR","Sierra Leone","SLE",2008,1
"6299","Bulgaria","BGR","Bahamas","BHS",2008,17
"6301","Bulgaria","BGR","Portugal","PRT",2008,8
"6309","Bulgaria","BGR","Czech Republic","CZE",2008,151
"6317","Bulgaria","BGR","Bangladesh","BGD",2008,0
"6326","Bulgaria","BGR","South Africa","ZAF",2008,1
"6331","Bulgaria","BGR","India","IND",2008,4
"6357","Bulgaria","BGR","Netherlands","NLD",2008,732
"6359","Bulgaria","BGR","Iran, Islamic Republic of","IRN",2008,0
"6366","Bulgaria","BGR","Malta","MLT",2008,11
"6369","Bulgaria","BGR","Azerbaijan","AZE",2008,2
"6372","Bulgaria","BGR","Jersey","JEY",2008,6
"6386","Bulgaria","BGR","Slovenia","SVN",2008,16
"6394","Bulgaria","BGR","Kyrgyzstan","KGZ",2008,1
"6397","Bulgaria","BGR","Serbia","SRB",2008,9
"6427","Bulgaria","BGR","Syrian Arab Republic","SYR",2008,2
"6453","Bulgaria","BGR","Canada","CAN",2008,4
"6457","Bulgaria","BGR","Germany","DEU",2008,1147
"6472","Bulgaria","BGR","Austria","AUT",2008,1676
"6478","Bulgaria","BGR","Ukraine","UKR",2008,2
"6482","Bulgaria","BGR","Cayman Islands","CYM",2008,37
"6483","Bulgaria","BGR","Guernsey","GGY",2008,6
"6485","Bulgaria","BGR","Nigeria","NGA",2008,7
"6486","Bulgaria","BGR","Cyprus","CYP",2008,489
"6498","Bulgaria","BGR","United Arab Emirates","ARE",2008,6
"6521","Bulgaria","BGR","Belarus","BLR",2008,2
"6555","Bulgaria","BGR","Iraq","IRQ",2008,0
"6557","Bulgaria","BGR","Montenegro","MNE",2008,0
