Year,CountryName,ccode,Population,TradeOpenness,GDPgrowth
2000,Libya,LBY,5337264,45.28109377,3.679213293
2000,Liechtenstein,LIE,33282,..,3.220190998
2000,Lithuania,LTU,3499536,83.27429474,3.83166714
2000,Luxembourg,LUX,436300,269.1855453,8.441852354
2000,"Macao SAR, China",MAC,431907,165.0535681,5.699999959
2000,"Macedonia, FYR",MKD,2012051,80.16014736,4.549135778
2000,Madagascar,MDG,15744811,68.68443533,4.760065099
2000,Malawi,MWI,11193230,60.9386355,1.576077831
2000,Malaysia,MYS,23420751,220.4073501,8.858868104
2000,Maldives,MDV,286000,161.0911539,..
2000,Mali,MLI,11046926,55.42257543,-0.06083497
2000,Malta,MLT,381363,188.9774697,6.77019381
2000,Marshall Islands,MHL,52161,..,5.890676039
2000,Mauritania,MRT,2711421,75.26462263,-0.430406256
2000,Mauritius,MUS,1186873,123.3300401,9.026614099
2000,Mexico,MEX,102808590,53.13105126,5.296473838
2000,"Micronesia, Fed. Sts.",FSM,107430,..,4.5632095
2000,Moldova,MDA,3639592,125.2099255,2.100000277
2000,Monaco,MCO,32081,..,3.910231911
2000,Mongolia,MNG,2397438,121.8866098,1.146062137
2000,Montenegro,MNE,604950,87.92520214,3.099997417
2000,Morocco,MAR,28950553,59.1618272,1.912872981
2000,Mozambique,MOZ,18264536,52.39622819,1.678502985
2000,Myanmar,MMR,47669791,1.084602267,13.74593056
2000,Namibia,NAM,1897953,85.42816321,3.492183222
2000,Nauru,NRU,10042,..,..
2000,Nepal,NPL,23740145,55.710589,6.199999988
2000,Netherlands,NLD,15925513,126.4519786,4.238763069
2000,New Caledonia,NCL,213230,..,2.100108842
2000,New Zealand,NZL,3857700,68.51776133,2.767282965
2000,Nicaragua,NIC,5026792,61.29849746,4.101590153
2000,Niger,NER,11224523,43.49156514,-1.40950935
2000,Nigeria,NGA,122876723,71.38053117,5.318093381
2000,Northern Mariana Islands,MNP,68434,..,..
2000,Norway,NOR,4490967,74.62175523,3.205285079
2000,Oman,OMN,2239403,79.59363251,5.401372717
2000,Pakistan,PAK,138250487,28.12960732,4.260088012
2000,Palau,PLW,19174,148.7730743,-1.312929561
2000,Panama,PAN,3028751,133.9904543,2.715373937
2000,Papua New Guinea,PNG,5374051,115.421838,-2.494841729
2000,Paraguay,PRY,5302703,85.08514056,-2.314146032
2000,Peru,PER,25914875,35.57896778,2.694311073
2000,Philippines,PHL,77932247,104.7298598,4.411212506
2000,Poland,POL,38258629,60.79573338,4.259803397
2000,Portugal,PRT,10289898,67.42339013,3.787494022
2000,Puerto Rico,PRI,3810605,134.2942776,1.512452504
2000,Qatar,QAT,593453,89.61265972,..
2000,Romania,ROM,22442971,70.71250429,2.395094533
2000,Russian Federation,RUS,146596557,68.09433859,9.999999999
2000,Rwanda,RWA,8021875,31.19816888,8.318704945
2000,Samoa,WSM,174614,81.09020928,6.918790299
2000,San Marino,SMR,27420,..,2.182810368
2000,Sao Tome and Principe,STP,137164,..,..
2000,Saudi Arabia,SAU,21392273,68.55461702,4.864539865
2000,Senegal,SEN,9860578,65.14190693,3.186639102
2000,Serbia,SRB,7516346,24.17032702,7.759209405
2000,Seychelles,SYC,81131,157.3776706,1.514338815
2000,Sierra Leone,SLE,4060709,57.5299629,6.652727885
2000,Singapore,SGP,4027887,366.0708871,8.897544418
2000,Sint Maarten (Dutch part),SXM,30519,..,..
2000,Slovak Republic,SVK,5388720,110.6994317,1.210176214
2000,Slovenia,SVN,1988925,103.6791403,4.15544216
2000,Solomon Islands,SLB,412336,62.72242796,-14.26748303
2000,Somalia,SOM,7385416,..,..
2000,South Africa,ZAF,44000000,51.43779802,4.199999997
2000,South Sudan,SSD,6692999,..,..
2000,Spain,ESP,40263216,60.23783366,5.289093179
2000,Sri Lanka,LKA,18655000,88.6364417,6.00003316
2000,St. Kitts and Nevis,KNA,45544,95.01014915,5.018932867
2000,St. Lucia,LCA,156949,105.3690742,4.420562002
2000,St. Martin (French part),MAF,28384,..,..
2000,St. Vincent and the Grenadines,VCT,107897,95.86523966,1.637438391
2000,Sudan,SDN,28079664,29.40423446,6.345867769
2000,Suriname,SUR,480751,52.92777948,-0.068687218
2000,Swaziland,SWZ,1063715,162.3414539,1.760174102
2000,Sweden,SWE,8872109,82.32740621,4.735287133
2000,Switzerland,CHE,7184250,98.24867494,3.946102508
2000,Syrian Arab Republic,SYR,16354050,63.97143408,2.742857397
2000,Tajikistan,TJK,6186152,199.6750242,8.299998545
2000,Tanzania,TZA,33991590,33.49085405,4.933846627
2000,Thailand,THA,62693322,121.2978836,4.455676031
2000,Timor-Leste,TMP,847185,188.8586957,17.50563435
2000,Togo,TGO,4874735,81.98937533,-0.783479606
2000,Tonga,TON,97898,62.26371294,3.369839694
2000,Trinidad and Tobago,TTO,1267980,104.9082971,7.559741736
2000,Tunisia,TUN,9552500,82.45592577,4.709859945
2000,Turkey,TUR,63240157,43.19214542,6.774455335
2000,Turkmenistan,TKM,4501419,176.4404576,5.469064133
2000,Turks and Caicos Islands,TCA,18876,..,..
2000,Tuvalu,TUV,9419,..,-0.970599814
2000,Uganda,UGA,23757636,32.74903334,3.141907338
2000,Ukraine,UKR,49175848,119.8582936,5.89999999
2000,United Arab Emirates,ARE,3050128,..,10.8527042
2000,United Kingdom,GBR,58892514,54.48126061,3.79884463
2000,United States,USA,282162411,24.98318146,4.092176449
2000,Uruguay,URY,3321242,36.71373815,-1.92993064
2000,Uzbekistan,UZB,24650400,46.11284385,3.799999993
2000,Vanuatu,VUT,185058,87.15579178,5.922044539
2000,"Venezuela, RB",VEN,24481477,47.85722155,3.686944167
2000,Vietnam,VNM,77630900,103.2444285,6.787316408
2000,Virgin Islands (U.S.),VIR,108639,..,..
2000,West Bank and Gaza,WBG,2922153,87.63909496,-9.93456706
2000,"Yemen, Rep.",YEM,17795219,75.43883864,6.18191561
2000,Zambia,ZMB,10585220,60.38746899,3.89732287
2000,Zimbabwe,ZWE,12499981,74.06741113,-3.059189626
2001,Afghanistan,AFG,20531160,..,..
2001,Albania,ALB,3060173,57.43036125,7.940331421
2001,Algeria,DZA,31590320,58.70616284,3
2001,American Samoa,ASM,58176,..,..
2001,Andorra,ADO,67770,..,6.066780597
2001,Angola,AGO,15562791,150.3355064,4.220965147
2001,Antigua and Barbuda,ATG,78972,120.4379642,-3.194241893
2001,Argentina,ARG,37471535,21.85242285,-4.408839696
2001,Armenia,ARM,3060036,71.61719663,9.556641496
2001,Aruba,ABW,92894,139.0219564,-2.164459409
2001,Australia,AUS,19413000,44.11794317,1.929386797
2001,Austria,AUT,8042293,87.6386079,1.35051608
2001,Azerbaijan,AZE,8111200,78.24097186,9.9
2001,"Bahamas, The",BHS,303138,82.99738623,2.625627121
2001,Bahrain,BHR,694893,127.026112,2.491033565
2001,Bangladesh,BGD,133776064,32.09801707,5.077287776
2001,Barbados,BRB,270686,84.64623777,-2.407221665
2001,Belarus,BLR,9928000,137.0449305,4.725306006
2001,Belgium,BEL,10286570,138.6947492,0.811463997
2001,Belize,BLZ,254989,119.9675728,5.015662999
2001,Benin,BEN,7174911,57.27591999,5.330410857
2001,Bermuda,BMU,62504,..,7.222436009
2001,Bhutan,BTN,580784,75.83389109,8.203773861
2001,Bolivia,BOL,8496378,45.22782135,1.683799127
2001,Bosnia and Herzegovina,BIH,3799747,104.3189499,4.399999507
2001,Botswana,BWA,1762531,87.52506557,0.250573867
2001,Brazil,BRA,178419396,26.93630126,1.657817967
2001,British Virgin Islands,VGB,21087,..,..
2001,Brunei Darussalam,BRN,337074,108.7188707,2.744040816
2001,Bulgaria,BGR,8020282,79.35049015,4.248025368
2001,Burkina Faso,BFA,11943740,32.3692329,6.613399555
2001,Burundi,BDI,6946720,20.96404561,2.055807109
2001,Cabo Verde,CPV,447357,92.1637225,2.231654493
2001,Cambodia,KHM,12448881,113.8631457,8.038631629
2001,Cameroon,CMR,16349364,45.13430805,4.514271087
2001,Canada,CAN,31081900,78.40632001,1.770819089
2001,Cayman Islands,CYM,43317,..,..
2001,Central African Republic,CAF,3794677,39.73049974,4.464782649
2001,Chad,TCD,8663599,64.32190804,11.65813465
2001,Channel Islands,CHI,149797,..,-1.51296126
2001,Chile,CHL,15358418,61.41428034,3.348180391
2001,China,CHN,1271850000,38.25469029,8.298374411
2001,Colombia,COL,40988909,33.90111179,1.677898308
2001,Comoros,COM,561525,47.84509475,2.332936465
2001,"Congo, Dem. Rep.",ZAR,49449015,25.04193751,-2.100173025
2001,"Congo, Rep.",COG,3183883,130.7324811,3.8026019
2001,Costa Rica,CRI,3996800,86.0082898,1.076396317
2001,Cote d'Ivoire,CIV,16865376,73.55035201,0.121371915
2001,Croatia,HRV,4440000,80.84477357,3.434404365
2001,Cuba,CUB,11151472,29.36152484,3.182230186
2001,Curacao,CUW,129047,..,..
2001,Cyprus,CYP,961482,132.7288422,3.576056688
2001,Czech Republic,CZE,10216605,99.52815003,3.051521283
2001,Denmark,DNK,5358783,84.05024768,0.823156075
2001,Djibouti,DJI,734088,83.06743497,2.047764413
2001,Dominica,DMA,69660,83.643604,0.473103034
2001,Dominican Republic,DOM,8697127,74.72228232,1.809229488
2001,Ecuador,ECU,12852753,50.74505716,4.0156299
2001,"Egypt, Arab Rep.",EGY,69599945,39.81042654,3.535225676
2001,El Salvador,SLV,5844738,67.46544846,1.708936396
2001,Equatorial Guinea,GNQ,549007,351.1057158,63.37987543
2001,Eritrea,ERI,3655006,72.06271096,8.75543519
2001,Estonia,EST,1388115,126.650966,6.328672643
2001,Ethiopia,ETH,68393128,..,8.301306322
2001,Faroe Islands,FRO,47012,99.95838535,..
2001,Fiji,FJI,814215,129.399223,1.999998847
2001,Finland,FIN,5188008,70.26592909,2.580792075
2001,France,FRA,61357431,54.31666763,1.954449425
2001,French Polynesia,PYF,241276,..,..
2001,Gabon,GAB,1260435,83.63861324,2.135233422
2001,"Gambia, The",GMB,1267103,46.92926319,5.800000236
2001,Georgia,GEO,4386400,63.32994311,4.805452136
2001,Germany,DEU,82349925,61.97779664,1.695471452
2001,Ghana,GHA,19293804,110.0458542,4
2001,Gibraltar,GIB,27580,..,..
2001,Greece,GRC,10862132,56.13996927,4.131612076
2001,Greenland,GRL,56350,..,1.269035533
2001,Grenada,GRD,101849,91.71777982,-2.023900041
2001,Guam,GUM,156417,..,..
2001,Guatemala,GTM,11976725,69.54454922,2.332574183
2001,Guinea,GIN,8955756,58.59690975,3.658346471
2001,Guinea-Bissau,GNB,1343646,48.01758272,2.188906815
2001,Guyana,GUY,743163,206.4120419,2.249999297
2001,Haiti,HTI,8692564,48.50291715,-1.042697313
2001,Honduras,HND,6371304,115.9430717,2.723193273
2001,"Hong Kong SAR, China",HKG,6714300,269.5527809,0.560802766
2001,Hungary,HUN,10187576,131.0048245,3.849141606
2001,Iceland,ISL,284968,75.71505442,3.762633493
2001,India,IND,1071888190,25.54526907,4.823966264
2001,Indonesia,IDN,214448301,69.7932057,3.643466447
2001,"Iran, Islamic Rep.",IRN,66812736,40.53556648,2.392172712
2001,Iraq,IRQ,24258794,126.780256,2.305316984
2001,Ireland,IRL,3866243,175.1184384,5.833502806
2001,Isle of Man,IMY,77608,..,5.376166334
2001,Israel,ISR,6439000,64.92556856,0.241579639
2001,Italy,ITA,56974100,50.20822119,1.77218597
2001,Jamaica,JAM,2605556,..,1.344929564
2001,Japan,JPN,127149000,20.2578929,0.355461715
2001,Jordan,JOR,4850227,109.4357966,5.27137064
2001,Kazakhstan,KAZ,14858335,92.84906851,13.5
2001,Kenya,KEN,31863280,55.94683603,3.779906496
2001,Kiribati,KIR,85858,114.4003279,0.703251456
2001,"Korea, Dem. People’s Rep.",PRK,23043441,..,..
2001,"Korea, Rep.",KOR,47357362,63.91107188,4.525319497
2001,Kosovo,KSV,1701154,..,26.97391784
2001,Kuwait,KWT,1990022,86.84235118,0.729026414
2001,Kyrgyz Republic,KGZ,4945100,73.747112,5.321584347
2001,Lao PDR,LAO,5424701,66.29808147,5.751412882
2001,Latvia,LVA,2337170,86.52444543,6.457260341
